plesalec,plesalka,drzava,kategorija,idplesalca
Vincenzo Rampino,Elena Tjapkina,Germany,Adult,Vincenzo_Rampino-7a29264f-769c-4b2c-a853-9e140123023b
Vladimir Timofeev,Evgenia Florinskaya,Russian Federation,Adult,Vladimir_Timofeev-e881d8ca-f61f-48f8-9ea1-9e14012bc72e
Vito Colangelo,Olga Potapova,Italy,Adult,Vito_Colangelo-1a04c7de-3996-4f6d-b4b0-9e14015e0a40
Daniil Dekhtyar,Veronika Kotova,Finland,Adult,Daniil_Dekhtyar-35edeb2d-d1b2-4e28-9ded-9e14015cbaa8
Gennady Verenikin,Tatiana Komissarova,Russian Federation,Senior III,Gennady_Verenikin-ca1db6b0-35dd-4924-8e0e-9e14015468ef
Yakov Ponomarenko,Daria Tereshchenko,Russian Federation,Adult,Yakov_Ponomarenko-bcf381ec-dd7f-43f7-af17-9e14013374d0
Roman Syrykh,Anna Belousova,Russian Federation,Adult,Roman_Syrykh-6e15bc2d-69c1-46d5-aad1-9e140134d826
Pavel Tishchenko,Victoria Nikulshina,Russian Federation,Adult,Pavel_Tishchenko-06766b9a-132a-4ed0-b4e7-9e4000e3c0d5
Norbert Czinege,Judit Krausz,Hungary,Adult,Norbert_Czinege-4dece2c8-867a-439e-aaff-9ee1004370f1
Giuseppe Fazio,Roberta Lizzio,Italy,Adult,Giuseppe_Fazio-0ff9a513-8400-4492-aa15-9e1401319ff8
Hiroo Negishi,Eriko Negishi,Japan,Senior III,Hiroo_Negishi-1a897f3c-c36a-4b4a-9d25-9e14012099c8
Toshiaki Kawashima,Michiko Kawashima,Japan,Senior III,Toshiaki_Kawashima-5da3d0a9-72ee-4c12-a19e-9e140121a934
Berke  Cem Ozdemir,Doga Celep,Turkey,Junior I,Berke__Cem_Ozdemir-9d53f6ab-e186-457f-8b42-a10a00db274f
Yaroslav Antonenko,Alexandra Sukhinina,Russian Federation,Junior II,Yaroslav_Antonenko-b0287f2f-6d96-4ac9-8270-a181010c1e62
Konstantin Lebedev,Maria Pavlova,Russian Federation,Youth,Konstantin_Lebedev-ab6eb2a4-5230-4423-81af-a181010c1ead
Alexey Stadnikov,Ekaterina Zavgorodnaya,Russian Federation,Youth,Alexey_Stadnikov-aa8dca34-c037-4890-b3fd-a181010c059d
Karapet Gigolian,Kristina Kokh,Russian Federation,Youth,Karapet_Gigolian-4a15e45e-7dc6-4eb2-91d5-a23c00e87343
Ivan Satin,Milana Putilova,Russian Federation,Youth,Ivan_Satin-bf7bd491-2916-4dd7-9441-a5da016fc2d8
Ivan Parfenov,Ekaterina Vinogradova,Russian Federation,Junior I,Ivan_Parfenov-83c613fa-d321-4b0f-986c-a5da017051b0
Daniil Smirnov,Polina Lobanova,Russian Federation,Junior I,Daniil_Smirnov-98cc7153-ad59-47e5-838f-a5da0170f336
Sergey Korolev,Diana Nikitina,Russian Federation,Junior I,Sergey_Korolev-8105b63c-fe63-4e10-a866-a5da01726452
Ivan Zhuliabin,Alexandra Belousova,Russian Federation,Junior I,Ivan_Zhuliabin-9d813f4a-3bc5-4965-98e5-a5da017b471a
Eduard Bronnikov,Valeria Sokolova,Russian Federation,Junior I,Eduard_Bronnikov-9af71631-095f-4cc8-b9bc-a5da017bd837
Maxim Meshcheriakov,Ksenia Kosian,Russian Federation,Junior I,Maxim_Meshcheriakov-40bfc521-2e58-445d-a97d-a5da017c7a95
Artem Volkhov,Tamara Bashirova,Russian Federation,Junior I,Artem_Volkhov-d69cf157-1a17-4a77-8efc-a5da017cd9e2
Alexandr Pankov,Anastasia Beliaeva,Russian Federation,Juvenile II,Alexandr_Pankov-8c0129e9-9578-4dc3-90a1-a5da017d40d0
Alexandr Matrosov,Daria Prokopeniuk,Russian Federation,Junior I,Alexandr_Matrosov-f4cf2bf4-076f-4326-90a5-a5da017da7c1
Andrey Sysoev,Liubov Kuzmina,Russian Federation,Senior II,Andrey_Sysoev-9176caab-9005-4586-80e2-a5da01801463
Yoichi Koshimizu,Yumiko Koshimizu,Japan,Senior IV,Yoichi_Koshimizu-f1f6d17d-1b8f-4a86-baf3-a5d3005390b6
Tomohiro Murakami,Naomi Inagaki,Japan,Senior I,Tomohiro_Murakami-48e9da99-4dea-4753-a76d-a5d300540e19
Ryuichi Nomura,Yasuko Nomura,Japan,Senior IV,Ryuichi_Nomura-11cc9a6f-0d66-48bb-a24a-a5d3005492bd
Yuichiro Noguchi,Ryoko Okuno,Japan,Senior I,Yuichiro_Noguchi-ccefdbaf-cd32-428c-a76d-a5d30055da52
Madoka Nagae,Chikako Nagae,Japan,Senior III,Madoka_Nagae-0a08d5ae-9c57-4e0e-a4e3-a5da007e5858
Sachio Ogawa,Masako Ogawa,Japan,Senior III,Sachio_Ogawa-8164f040-6178-4f9c-8709-a5da007f734d
Siarhei Shahun,Valeryia Karpach,Belarus,Junior I,Siarhei_Shahun-ef095950-86fd-41a3-a677-a5da00e6c279
Mikhail Surmach,Maria Moiseeva,Belarus,Junior I,Mikhail_Surmach-2616d1dc-6ed7-4c14-a49b-a5da00e801f7
Markus Auer,Vasinee Auer,Germany,Senior I,Markus_Auer-4eb38586-0cd2-43ca-8ead-a5da00ed0e6a
Roman Petrov,Daria Shatunina,Russian Federation,Junior II,Roman_Petrov-a0cd9249-0fde-48ad-a446-a5da018579ea
Mark Lysov,Dina Vashchenkova,Russian Federation,Junior II,Mark_Lysov-a54c9ec4-f9ce-4c1c-8f43-a5da01866374
Alexandr Geyzer,Maria Ibraeva,Russian Federation,Junior I,Alexandr_Geyzer-f2d3dcce-6939-4b66-8bd2-a5da01880172
Nikolay Sbrodov,Ekaterina Stativka,Russian Federation,Junior I,Nikolay_Sbrodov-5dbc04c5-002c-4235-88c4-a5da0188b5c2
Evgeny Kuzmishchev,Margarita Nogovitsyna,Russian Federation,Youth,Evgeny_Kuzmishchev-a71684d0-f9fc-48b7-9b96-a5da0189179f
Alexandr Okhlopkov,Angelina Melnikova,Russian Federation,Junior II,Alexandr_Okhlopkov-f73c72b4-bdf1-4a2d-8b97-a5da018a1306
Takahiro Kaai,Miho Kaai,Japan,Senior IV,Takahiro_Kaai-ce8f6c45-d0f4-4506-91f6-a5da007d3970
Giuseppe Salamone,Mariangela Galioto,Italy,Senior I,Giuseppe_Salamone-16676d41-afcb-406a-b6dc-a5d200bcdd6a
Masao Ito,Nobuko Okeya,Japan,Senior IV,Masao_Ito-da9e5894-9456-4f07-8dd1-a5ca00865c60
Mitsuhiro Tamaki,Ekuko Tamaki,Japan,Senior III,Mitsuhiro_Tamaki-852f6934-bbf3-4374-9621-a5ca0086be9d
Masaaki Orikasa,Shinobu Hayakawa,Japan,Senior IV,Masaaki_Orikasa-2515ce1d-7f4d-4144-be6e-a5ca0086f43e
Hideyuki Miyauchi,Kumiko Miyauchi,Japan,Senior III,Hideyuki_Miyauchi-6c3be3cf-6525-413e-964b-a5ca00874ab5
Kasparas Arys,Rugile Kiciatovaite,Lithuania,Junior II,Kasparas_Arys-5d511773-766a-4076-9cce-a47400e5ec45
Renaldas Daugela,Aiste Gaudesiute,Lithuania,Junior II,Renaldas_Daugela-ecdb139f-5877-4d42-8823-a4790107e1f7
Emilis Skripkiunas,Ieva Skripkiunaite,Lithuania,Junior I,Emilis_Skripkiunas-ee40414a-9b50-40eb-9598-a53000c0eaef
Kajus Augustis,Neringa Zutautaite,Lithuania,Youth,Kajus_Augustis-fdf3bbc2-6a8a-402a-8885-a53000c4180a
Ariyus Gailevichius,Brigita Mockute,Lithuania,Junior II,Ariyus_Gailevichius-9a970189-8ce3-494b-bd6d-a5220079dea6
Rouslan Talantsev,Varvara Mystaka,Greece,Adult,Rouslan_Talantsev-f5d1180e-bedd-4a6d-a070-a483014e51d8
Ilya Butkovsky,Anna Vasilishina,Russian Federation,Youth,Ilya_Butkovsky-67bea80c-7638-47d2-a4dc-a4a501690fe6
Almerio Albertelli,Leonia Fasolo,Italy,Senior IV,Almerio_Albertelli-9610fa33-3c44-4db8-bf1a-a5d000ef1744
Gaetano Messina,Maria Arcangela Manfredi,Italy,Senior IV,Gaetano_Messina-a38b3f5f-5d09-4bf4-bb4b-a5d000f17bd8
Aleksey Petrin,Rima Gevorkian,Russian Federation,Junior I,Aleksey_Petrin-7a4a4fba-5d11-4130-9d94-a5db00e493fa
Sergey Stepkin,Valerya Bazoly,Russian Federation,Adult,Sergey_Stepkin-4ebf6fa0-ae89-45a3-8acc-a5db00e4fd3f
Pavel Aparin,Alina Khilchenko,Russian Federation,Junior II,Pavel_Aparin-2d34125f-ed47-4981-8c2e-a5db00e56851
Paolo Calvagna,Maria Gaetana La Mastra,Italy,Senior III,Paolo_Calvagna-2505b924-7f4d-4039-a734-a5db00a944da
Igor Tarasenko,Nadia Tarasenko,Russian Federation,Senior IV,Igor_Tarasenko-7847b25e-2b0a-4012-9f6e-a5db00ed9fb3
Alexey Krivosheev,Julia Lyakh,Russian Federation,Youth,Alexey_Krivosheev-0193e170-1083-4389-8a96-a5db00f4aca2
Sviatoslav Nevidimy,Alexandra Shpakova,Russian Federation,Junior I,Sviatoslav_Nevidimy-44f1a71f-b993-451f-94ba-a5db00f58dcf
Ivan Maslov,Yaroslava Solntseva,Russian Federation,Youth,Ivan_Maslov-794dc7e1-021c-4de5-bf13-a5db00f66a85
Nikita Yurkin,Elizaveta Oleynik,Russian Federation,Junior II,Nikita_Yurkin-19964e10-ede9-41b2-8541-a5db00f6d896
Stanislav Alekseev,Diana Kuznetsova,Russian Federation,Junior II,Stanislav_Alekseev-3ec1eee1-d812-4cb3-93db-a5db00fcfbe1
Nojus Rascius,Vaiva Paulauskaite,Lithuania,Junior I,Nojus_Rascius-d8d518ee-2020-42ef-ac0a-a5db013cb072
Tomas Pedro,Mafalda Lacerda,Portugal,Junior II,Tomas_Pedro-4dd804df-d424-4c3b-a25f-a5db013e1190
Daniil Andronov,Elizaveta Skavronskaya,Russian Federation,Junior I,Daniil_Andronov-50d7ae56-bdb0-4664-9eb6-a5db010a1800
Makar Barantsov,Anna Shchipalkina,Russian Federation,Junior II,Makar_Barantsov-aa4b6ecf-ea4b-4d7f-968d-a5db010a7c35
Kirill Komarov,Victoria Krasnoperova,Russian Federation,Junior II,Kirill_Komarov-ecbd9cb6-5f95-4646-9c8a-a5db010b3cf3
Yury Migrov,Arina Startseva,Russian Federation,Junior II,Yury_Migrov-e3dbe356-4030-4859-9b90-a5db010bbe8f
Maxim Roznov,Ekaterina Balakshina,Russian Federation,Junior II,Maxim_Roznov-4434ad3b-20d7-45f4-a38e-a5db010d464b
Alexandr Funtov,Valeria Dunaeva,Russian Federation,Junior I,Alexandr_Funtov-3d3664dd-7d86-45c9-9de5-a5db010db04d
Georgy Kainov,Alina Polevikova,Russian Federation,Youth,Georgy_Kainov-a9457984-0be7-4b5f-a0ba-a5db010e1525
Pavel Zhuk,Anna Muratova,Russian Federation,Junior I,Pavel_Zhuk-af2b7233-9587-4ab7-b2fa-a5db010e799f
Salvatore Lo Piparo,Francesca Catanese,Italy,Adult,Salvatore_Lo_Piparo-137149c4-4119-49e0-a3b8-a5d900e4ce13
Mihai Stefan Pana,Monica Elena Dragomir,Romania,Youth,Mihai_Stefan_Pana-cbc949a5-994c-47cc-a431-a5d800dbf3fc
Magnus Kombo,Katariina Raabis,Estonia,Junior I,Magnus_Kombo-392ad458-8c9d-4cb8-89c5-a5a90101de8a
Roberto Corti,Lorella Centelleghe,Italy,Senior II,Roberto_Corti-e62f6805-87fa-436c-90d7-a3f10112ec98
Alexandr Fateev,Elizaveta Polukhina,Russian Federation,Junior II,Alexandr_Fateev-8bf4af6f-1048-4ae2-9403-a34a01728a8a
Ilya Zavodov,Viktorya Vasilyeva,Russian Federation,Juvenile II,Ilya_Zavodov-57d9e7a9-6a77-4c45-9fc7-a36a0174bc34
Daniil Tsitiridis,Ekaterina Zhilkibaeva,Russian Federation,Youth,Daniil_Tsitiridis-47713a3a-46c2-4557-a0d5-a2e6017db1f5
Anton Alexandrov,Natalia Shitova,Russian Federation,Youth,Anton_Alexandrov-a68485d5-4068-40cd-925c-a1dc01214c02
Andrei Tudose,Andreea Petruta Ienciu,Romania,Youth,Andrei_Tudose-2981b4b7-e0be-423c-9857-a1ce007da497
Valerio Viola,Federica Impiccini,Italy,Adult,Valerio_Viola-243f6f02-2c67-491e-af52-a15b00d2b406
Ricardo Oliveira,Emily Biring-Hall,Portugal,Adult,Ricardo_Oliveira-119dcdf0-b8ee-4eca-a9a5-9f2200434257
Martin Sramka,Erika Ferrara,Slovakia,Adult,Martin_Sramka-0399f8ea-d117-4176-b5ac-9e14016015b3
Konstantin Filin,Angelina Lashkova,Russian Federation,Adult,Konstantin_Filin-75390cab-30c4-4654-82bd-9e140137fda9
Vadim Peshnov,Ksenia Shishova,Russian Federation,Adult,Vadim_Peshnov-d1490b81-0071-4b15-a614-9e14013171c1
Kirill Sergeev,Ksenia Garichkina,Russian Federation,Youth,Kirill_Sergeev-d2458897-9927-4e88-9edd-a181010c0573
Mihai Cristian Cirstica,Iustina Marisa Vicovan,Romania,Youth,Mihai_Cristian_Cirstica-7a76f65b-961f-42ba-958f-a1db00d682e7
Tiberiu Ioan Ciouca,Anca Hortolomei,Romania,Adult,Tiberiu_Ioan_Ciouca-aa4f85e1-0cd3-4168-ac39-a18e013302fc
Levan Veshaguri,Bella Slanova,Russian Federation,Adult,Levan_Veshaguri-9f924a0b-9d6e-4ef3-b596-a27400fac3fd
Stefan Petre Simion,Elena Valentina Ghiu,Romania,Youth,Stefan_Petre_Simion-9a38d2e1-60cf-4158-a59b-a2f100e09a98
Felix Mayorov,Ekaterina Vozhova,Russian Federation,Youth,Felix_Mayorov-128053c0-beae-4a49-8139-a458012142c6
David - Denis Scrob,Tania Vlad,Romania,Youth,David_-_Denis_Scrob-0f5835b6-0f89-4e48-98f3-a3db008daa48
Aleksandr Katalov,Austeja Zilinskaite,Lithuania,Junior II,Aleksandr_Katalov-2304315d-7b21-486b-b12d-a5dc006a6965
Rokas Jurjonas,Ugne Kimeisaite,Lithuania,Junior II,Rokas_Jurjonas-cfe226c7-f07b-4f58-8bda-a5dc006f142a
Jokubas Jankauskas,Agile Luksaite,Lithuania,Youth,Jokubas_Jankauskas-239d0ec9-18e1-4cba-8ddc-a5dc00baa792
Victor Petkov,Radmila Borisova,Bulgaria,Adult,Victor_Petkov-c31bf397-166c-43f2-a72b-a5dc00ceb2ba
Sergey Chursin,Ekaterina Abramova,Russian Federation,Adult,Sergey_Chursin-711a161c-4114-4bf6-8492-a5dc017b80e8
Roman Volkov,Ekaterina Kravchenko,Russian Federation,Junior II,Roman_Volkov-22f79c6f-5d90-4103-a2b5-a5dd011dc6fa
Can Kara,Meltem Alkaya,Turkey,Adult,Can_Kara-a1d71bdd-605c-4f9e-8516-a52c011759cb
Eric Marius Nitu,Antonia Ioana Iosub,Romania,Junior II,Eric_Marius_Nitu-29fbff55-225f-4bca-8e36-a4d000d0ffd7
Serxho Zyla,Marinela Zyla,Albania,Youth,Serxho_Zyla-c7b8feaa-fc7d-4d93-8892-a32800b2abd4
Alexandr Kiselev,Ksenia Rebkovets,Russian Federation,Adult,Alexandr_Kiselev-04284c1c-dc4f-4197-8757-a2510100993a
Dmitry Volodin,Maria Litvishchenko,Russian Federation,Junior II,Dmitry_Volodin-aa92d328-e808-41e7-ba86-a181010c08de
Anton Burkhanov,Elizaveta Dvorianova,Russian Federation,Youth,Anton_Burkhanov-4151dbbc-f719-45b7-9cf6-a23b00c51c51
Andras Koops,Laura van der Galien,Netherlands,Adult,Andras_Koops-560433d5-131d-4393-92a0-9e14012ba52d
Stefan Hut,Marit Terpstra,Netherlands,Adult,Stefan_Hut-64b04c15-aaaf-4c3d-bd1d-9e14012b2231
Danil Nesterov,Anastasia Zolotukhina,Russian Federation,Youth,Danil_Nesterov-65c8654c-da7b-4087-a859-a2b7017f52ca
Arkady Borshchevsky,Darina Saukova,Russian Federation,Junior II,Arkady_Borshchevsky-4a394481-e00d-4c3c-be89-a2b70182a25e
Roman Safargaliev,Sofia Doronina,Russian Federation,Junior II,Roman_Safargaliev-2c127790-0821-4c74-8625-a4c100e73897
Mattia Cicchetti,Giada Antonelli,Italy,Junior I,Mattia_Cicchetti-407c0517-9d58-42fb-9420-a53800d6fd9f
Alexey Zakharov,Elizaveta Kolosova,Russian Federation,Junior II,Alexey_Zakharov-313ed96c-3d04-4057-96d4-a5db010ae7fb
Stanislav Svede-Shvets,Anastasia Zinchenko,Russian Federation,Youth,Stanislav_Svede-Shvets-06e19025-44d8-4522-9831-a5d8011a1a34
Ali Sertan Yaka,Zeynep Ozge Yenice,Turkey,Adult,Ali_Sertan_Yaka-af8fb763-f511-4832-a735-a5d900f648f9
Piotr Borowski,Ewelina Krol,Poland,Youth,Piotr_Borowski-9273027e-3177-47b0-9cb9-a5de008552b7
Gergo Bencsik,Szilvia Sandor,Hungary,Adult,Gergo_Bencsik-ca1f4f38-4fc8-4a96-bf2e-a5de008827bd
Gian Lorenzo Lottini,Suami Ferretti,Italy,Youth,Gian_Lorenzo_Lottini-0865895e-b9c4-4922-b986-a5de00958222
Yoshihiko Ogawa,Etsuko Sato,Japan,Senior III,Yoshihiko_Ogawa-a809a269-0e0a-4ae5-95d4-a5de00971087
Michel Kaminsky,Isabell Reich,Germany,Juvenile II,Michel_Kaminsky-f3c153a7-aa8e-42b7-ad69-a5de01066c58
Maxim Kuznetsov,Sofia Berezhnaya,Russian Federation,Junior I,Maxim_Kuznetsov-bb09b906-546e-4643-b01c-a5de0107ea46
Maxim Siliutin,Natalia Siliutina,Russian Federation,Adult,Maxim_Siliutin-1c282a6b-7bb6-47aa-8e8b-a5de01087234
Dmitry Kuterin,Anastasia Chekalina,Russian Federation,Youth,Dmitry_Kuterin-8071d70e-06f4-4e8d-8e61-a5de0109c97c
Victor Yurkov,Valentina Matveeva,Russian Federation,Senior III,Victor_Yurkov-9d85682b-19b2-4d66-aeb3-a5de010ad145
Valeri Radulov,Elisaveta Yordanova,Bulgaria,Youth,Valeri_Radulov-a79b79e7-2628-4839-9e0e-a5d000db4995
Boris Oreshkov,Vasilena Dzhelepova,Bulgaria,Youth,Boris_Oreshkov-55dd10f6-ae96-4e58-8861-a5d000dbbebe
Matteo Mascia,Gaia Simbula,Italy,Junior II,Matteo_Mascia-0474ca2c-d5ba-4558-ab35-a5ad00bc63b7
Antonio Brenna,Norina Vincenzi,Italy,Senior II,Antonio_Brenna-eac100c1-b178-4802-8cbf-a54000eb1185
Pietro Di Palma,Giorgia Bestetti,Italy,Adult,Pietro_Di_Palma-0d744aec-c32d-4e8c-ad00-a54000eb4f12
Alberto Marionni,Lidia Manzinali,Italy,Senior II,Alberto_Marionni-9c6ee830-aec3-4177-b279-a54000eba251
Vincenzo Borbone,Chiara Salomone,Italy,Youth,Vincenzo_Borbone-ec1a1ff5-e8a5-44a6-9999-a56100d1b508
Vello Oras,Silja Klimson,Estonia,Senior III,Vello_Oras-d4fadbdd-352b-469b-bfb4-a5d000bbf686
Kristo Ott,Jekaterina Lissovskaja,Estonia,Junior I,Kristo_Ott-89cefd86-6e69-4d6a-bc58-a5d000baae4a
Andrea Cuzzola,Cristina Robatto,Italy,Youth,Andrea_Cuzzola-f781635a-6c35-42ff-a840-a5bd008d3ea2
Eren Kara,Berna Ozlem,Turkey,Adult,Eren_Kara-bfd16bbc-a79f-4e4a-9c83-a5df0086aa3b
Go Matsuura,Naomi Matsuura,Japan,Senior III,Go_Matsuura-aef96757-3b18-4210-873e-a5df00906abe
Milan Kakuk,Tamara Szabo,Hungary,Youth,Milan_Kakuk-d20f939f-2369-452e-b087-a5df00b9f66e
Semen Mustafin,Violetta Vlasievnina,Russian Federation,Adult,Semen_Mustafin-1861b3b3-8fb2-4ebb-9cab-a5df01117851
Ain Anijarv,Maie Anijarv,Estonia,Senior III,Ain_Anijarv-16337a74-04b8-49f0-9981-a5dd016329ce
Valentin Ivanov,Bilyana Ivanova,Bulgaria,Youth,Valentin_Ivanov-8b5bfe2b-6710-4845-b877-a5da007d9434
Jueri Turjakas,Maret Lina,Estonia,Senior III,Jueri_Turjakas-0ccbe8b5-13fa-4274-af3f-a5db008d2def
Johannes Org,Natalja Org,Estonia,Senior IV,Johannes_Org-bc4d5a2c-a4e1-4504-aaa3-a5db008df32a
Anton Buriakov,Kristina Kapatsina,Russian Federation,Youth,Anton_Buriakov-45c72524-e431-450c-a85f-a2bc017eb8d7
Andrey Tokarev,Larisa Tokareva,Russian Federation,Senior III,Andrey_Tokarev-46a46052-e41e-42fa-a169-a2c400f8aacd
Egor Kazankin,Sofia Denisova,Russian Federation,Juvenile II,Egor_Kazankin-2204d248-4ed3-4ee2-a125-a2d80181c89d
Michael Lukas,Sabine Haas,Germany,Senior II,Michael_Lukas-e57ce46b-b345-4f77-8b8e-9e1401224606
Christian Freisens,Marla Reik,Germany,Adult,Christian_Freisens-54a7e425-c461-47c8-9b28-9e140133106e
Luciano Iera,Rosaria Segreti,Italy,Adult,Luciano_Iera-5143225a-5a63-4725-8dda-9e14015e79c8
Giovanni La Montagna,Melissa Ferraro,Belgium,Adult,Giovanni_La_Montagna-70acc881-b5eb-4066-be79-9e14015e7fa7
Fausto Fiumi,Simona Palcani,Italy,Senior IV,Fausto_Fiumi-2184e645-cd44-4c2f-a1b1-a28b00e826a2
Horst Lehrke,Birgit Lehrke,Germany,Senior III,Horst_Lehrke-e9d50685-135c-46df-ba96-a0c700437cb3
Sviatoslav Anchukov,Alexandra Basharova,Russian Federation,Adult,Sviatoslav_Anchukov-c2ab9904-212e-4b66-8649-a0b60043bc35
Gleb Kudriavtsev,Valeriia Aksiuta,Russian Federation,Youth,Gleb_Kudriavtsev-ce72e71a-9faa-447e-85ef-a181010bfe85
Stefan Li Huan,Cristina Bianca Bezman,Romania,Adult,Stefan_Li_Huan-07477406-a88c-42ee-a6a4-a11d00439266
Ernesto Rizzo,Marika Laraspata,Italy,Adult,Ernesto_Rizzo-442ab15e-40dd-4334-a578-a1160043cece
Sergey Khannanov,Vlada Beliaeva,Russian Federation,Youth,Sergey_Khannanov-87fce023-87f3-4cf3-b13a-a181010c1183
Lukasz Piekarski,Charlaine Romijn,Netherlands,Adult,Lukasz_Piekarski-49d3204a-8024-446e-9bf8-9e1401357896
Antonio Correale,Silvana Montanino,Italy,Senior IV,Antonio_Correale-dc4e2580-17bf-4c14-9046-a3ed00d5ca50
Alexandr Mezhonov,Anastasia Shchekina,Russian Federation,Junior II,Alexandr_Mezhonov-8355a4a6-9683-4ef4-b3cb-a5da0184e3ca
Goetz Moser,Alexandra Mudrack,Germany,Senior II,Goetz_Moser-04ee35c3-1077-49ac-b332-a5e0009ac289
Gennaro Savino,Olimpia Savino,Italy,Adult,Gennaro_Savino-67460ec8-939a-4914-b4a4-a5e000bb6d96
Alexandr Rudik,Olga Miroshnikova,Russian Federation,Senior III,Alexandr_Rudik-12316119-d206-4850-b42f-a5e000fd3ebc
Alessandro Agolini,Manuela Bove,Italy,Senior I,Alessandro_Agolini-cb7a0c1b-91b9-4f21-810c-a5c300c38359
Rimantas Danielius,Kamile Dunskyte,Lithuania,Youth,Rimantas_Danielius-3586cbf4-5ba3-47f0-8a32-a59b00aa6767
Nicola Ceccarelli,Laura Spallaccia,Italy,Adult,Nicola_Ceccarelli-eaea1d8e-7d6b-4b4d-812a-a5d000932484
Thomas Roggeman,Annik Spaenjers,Belgium,Senior II,Thomas_Roggeman-7cca764c-52b0-4821-9e4d-a5d101448dd9
Cristian Botnari,Daniela Turcan,Moldova,Junior II,Cristian_Botnari-29f4ad3d-7d75-4c91-88d2-a5e001011565
Alessandro Arrobbio,Rachele Castrogiovanni,Italy,Youth,Alessandro_Arrobbio-837b0610-9364-442f-a278-a5df0076059f
Simone Bassetti,Cristina Lauretti,Italy,Adult,Simone_Bassetti-f413a98d-a0c9-479d-b42a-a4b400efd3bf
Nikita Goltsov,Anastasia Spirina,Russian Federation,Adult,Nikita_Goltsov-658df16c-03db-4e97-a108-a40a0120c902
Alessio Russo,Miriam De Gennaro,Italy,Adult,Alessio_Russo-d358fccd-fe16-4b38-9648-a11900e1fac1
Oguz Tasderen,Ilgim Ezgi Gurses,Turkey,Adult,Oguz_Tasderen-37098a38-eae7-4a81-afff-a1610129983f
Atakan Calik,Darya Kuzmina,Turkey,Adult,Atakan_Calik-9edaa746-882c-42eb-9c11-a10a00d72e22
Makar Melekhavets,Anastasia Mihutskaya,Belarus,Junior I,Makar_Melekhavets-bd9248f0-8955-4b8b-aa9c-a1a500d9fd62
Mark-Erik Aan,Dalia Doman,Estonia,Junior II,Mark-Erik_Aan-00285d30-577b-4736-bd4d-a23e0095f94b
Baris Selcen,Sude Ganidagli,Turkey,Adult,Baris_Selcen-db93170c-f730-46f0-aece-a4440114c94a
Carlo Patricio Walawad,Lilia Santos,Philippines,Senior I,Carlo_Patricio_Walawad-fd40a304-6b4e-44cd-a9da-a49c00a0de41
Olev Mets,Lii Kask,Estonia,Senior III,Olev_Mets-e3861b01-10dd-4e56-a70b-a5e200965edf
Mico Ayan Canlas,Jannie Ann Marie Perez,Philippines,Youth,Mico_Ayan_Canlas-5c9f0ff4-6fc0-476b-a307-a5e1009fcb5c
Alessio Pagano,Maria Pentella,Italy,Junior I,Alessio_Pagano-e6726ce8-0b6f-4119-96c2-a5e2008a2725
Nikita Kilievoi,Anna-Maria Pogrebnaja,Estonia,Juvenile II,Nikita_Kilievoi-7af7daaa-177e-4936-8464-a54f00a7449a
Maxim Sukolenko,Gulnara Muzipova,Russian Federation,Adult,Maxim_Sukolenko-04ad20ee-1263-4238-b32a-a3b50119e458
Andrey Mironovich,Kristina Demidova,Russian Federation,Adult,Andrey_Mironovich-12098b85-a8d1-4ed0-92d8-a25000ef5d1e
Lev Kukarsky,Elizaveta Kozlova,Russian Federation,Adult,Lev_Kukarsky-cfde608b-85bf-4072-a051-a0850043859b
Michal Lozinszek,Julia Maslanka,Poland,Adult,Michal_Lozinszek-7335b1e1-c4e8-4a2a-92a9-9e1401302469
Bart Mulder,Wilma Mulder,Netherlands,Senior I,Bart_Mulder-7f966160-d4b1-4be2-8dee-a5e4013ccc2d
Terrance Nicholson,Candace Nicholson,United States,Senior III,Terrance_Nicholson-986c68b5-1a2a-4aa9-ba88-a5aa002ee613
Gabriele Mirai,Greta Calderisi,Italy,Junior I,Gabriele_Mirai-8cb713d9-ace2-4c8e-bb79-a5e50089a216
Joerg Jasch,Nadja Theus,Germany,Senior III,Joerg_Jasch-e17eff16-a00d-4a78-8cfb-a5e500affcd9
Veiko Pedosk,Anneli Taal,Estonia,Senior II,Veiko_Pedosk-067c09b3-3063-4488-90ff-a5e50165adb6
Giampietro Giovannini,Chiara Mati,Italy,Senior II,Giampietro_Giovannini-ecc59baf-ed17-42bb-bbe0-a5da00f27e92
Alessandro Ancora,Patrizia Broda,Italy,Senior III,Alessandro_Ancora-9c4b3199-99ed-44b7-b95d-a47b00ba76be
Artem Oberemok,Ema Tomasova,Slovakia,Junior II,Artem_Oberemok-df7345fb-5e25-4ad6-b85b-a3700114f2a9
Octavian Marius Georgescu,Elisa Valvason Serodine,Italy,Junior II,Octavian_Marius_Georgescu-5e01044d-6481-4eb1-b30f-a43300c72dde
Marcin Klasz,Dominika Dana,Poland,Adult,Marcin_Klasz-a78f19fc-2857-45cf-b1a9-9e140123429e
Eriks Petruna,Alise Horste,Latvia,Junior II,Eriks_Petruna-72e3c2a5-60e8-4218-9c03-a10300d26167
Kris-Jarlet Kivisaar,Maria-Elisabeth Lootus,Estonia,Junior II,Kris-Jarlet_Kivisaar-dec4e5bd-9f21-4a1c-84df-a19600a2e6db
Jakub Bil,Diana Surman,Poland,Youth,Jakub_Bil-a97fe133-01e1-4559-82a3-a19801363a9b
